Quarter,# Commits,# Issues,# PullRequests,# NewCommitters,# NewIssueSubmitters,# NewPRSubmitters
Q1 2016,258,0,0,41,0,0
Q2 2016,628,0,0,13,0,0
Q3 2016,500,4,0,7,3,0
Q4 2016,134,52,22,6,18,12
Q1 2017,105,43,13,9,12,7
Q2 2017,490,234,83,21,20,15
Q3 2017,187,244,114,17,18,12
Q4 2017,61,54,28,9,22,15
Q1 2018,24,58,20,6,18,7
Q2 2018,141,222,96,14,12,8
Q3 2018,179,244,118,6,7,8
Q4 2018,53,46,25,7,12,6
Q1 2019,37,34,18,3,7,3
Q2 2019,0,0,0,0,0,0
Q3 2019,0,0,0,0,0,0
Q4 2019,0,0,0,0,0,0
