Quarter,# Commits,# Issues,# PullRequests,# NewCommitters,# NewIssueSubmitters,# NewPRSubmitters
Q1 2017,69,0,0,4,0,0
Q2 2017,5,3,0,1,1,0
Q3 2017,170,207,107,26,30,26
Q4 2017,104,228,122,23,26,24
Q1 2018,100,174,91,14,12,11
Q2 2018,441,530,254,2,4,2
Q3 2018,501,578,272,9,10,8
Q4 2018,104,165,75,4,13,7
Q1 2019,103,140,66,5,9,7
Q2 2019,3,3,1,1,0,0
Q3 2019,0,0,0,0,0,0
Q4 2019,0,0,0,0,0,0
