Quarter,# Commits,# PullRequests,# Issues,# NewCommitters,# NewIssueSubmitters,# NewPRSubmitters
Q1 2016,258,0,0,41,0,0
Q2 2016,628,0,0,13,0,0
Q3 2016,500,0,4,7,0,3
Q4 2016,134,22,52,6,12,18
Q1 2017,105,13,43,9,7,12
Q2 2017,490,83,234,21,15,20
Q3 2017,187,114,244,17,12,18
Q4 2017,61,28,54,9,15,22
Q1 2018,24,20,58,6,7,18
Q2 2018,141,96,222,14,8,12
Q3 2018,179,118,244,6,8,7
Q4 2018,53,25,46,7,6,12
Q1 2019,37,18,34,3,3,7
Q2 2019,0,0,0,0,0,0
Q3 2019,0,0,0,0,0,0
Q4 2019,0,0,0,0,0,0
