Quarter,# Commits,# PullRequests,# Issues,# NewCommitters,# NewIssueSubmitters,# NewPRSubmitters
Q1 2017,69,0,0,4,0,0
Q2 2017,5,0,3,1,0,1
Q3 2017,170,107,207,26,26,30
Q4 2017,104,122,228,23,24,26
Q1 2018,100,91,174,14,11,12
Q2 2018,441,254,530,2,2,4
Q3 2018,501,272,578,9,8,10
Q4 2018,104,75,165,4,7,13
Q1 2019,103,66,140,5,7,9
Q2 2019,3,1,3,1,0,0
Q3 2019,0,0,0,0,0,0
Q4 2019,0,0,0,0,0,0
